path,mask_id,start_frame,end_frame,fps,Original_video_caption,Edited_video_caption,Edited_image_caption,Editing_instruction,type
000000031262_4617494.mp4,2,0,239,24,"A drone captures a cityscape where the skyline, with its glass-clad skyscrapers, stands tall against a clear blue sky. The urban environment is a blend of greenery and infrastructure, including a network of train tracks and a busy highway. Residential areas with single-family homes and small businesses are visible, alongside commercial buildings. The city's architecture varies from modern high-rises to older structures, with a baseball field adding a touch of greenery. The scene is dynamic, with the movement of vehicles and the presence of a sports field, highlighting the city's vibrant life and architectural diversity.","A drone captures a cityscape where the skyline, with its glass-clad skyscrapers, stands tall against a clear blue sky, which is dotted with a flock of birds. The urban environment is a blend of greenery and infrastructure, including a network of train tracks and a busy highway. Residential areas with single-family homes and small businesses are visible, alongside commercial buildings. The city's architecture varies from modern high-rises to older structures, with a baseball field adding a touch of greenery. The scene is dynamic, with the movement of vehicles and the presence of a sports field, highlighting the city's vibrant life and architectural diversity.",A flock of birds soaring in the clear blue sky.,Add a flock of birds in the sky.,add
000000043567_5002121.mp4,9,100,311,25,"A field of tall, golden-brown grass stretches out under a vast blue sky, with the earthy tones of the grass contrasting against the sky. In the background, a mountain range rises majestically, its peaks softened by a gentle haze, creating a sense of depth and grandeur. The scene is tranquil, with no sign of human or animal activity, evoking a sense of peace and natural beauty. As time passes, the golden-brown grasses continue to dominate the foreground, while the mountain range stands as a silent sentinel in the background, its slopes softened by a gentle haze, maintaining the serene and untouched atmosphere.","A field of tall, golden-brown grass stretches out under a vast blue sky, with the earthy tones of the grass contrasting against the sky. In the background, a mountain range rises majestically, its peaks softened by a gentle haze, creating a sense of depth and grandeur. Atop the mountain, a castle stands proudly, adding a touch of mystique to the serene landscape. The scene is tranquil, with no sign of human or animal activity, evoking a sense of peace and natural beauty. As time passes, the golden-brown grasses continue to dominate the foreground, while the mountain range with its castle stands as a silent sentinel in the background, its slopes softened by a gentle haze, maintaining the serene and untouched atmosphere.","Ancient stone castle with tall towers and flags, perched atop the rugged mountain.",Add a castle on top of the mountain.,add
000000091282_6236421.mp4,2,0,191,24,"Two women are engaged in a skincare routine in a bathroom. Initially, one woman, with a white towel wrapped around her head and a robe, applies a black under-eye mask to her face, while the other, with pink hair rollers, watches. Moments later, the scene shifts slightly; the woman with the white towel now applies a black eye mask to her right eye, and the other, with blonde curls, applies a similar mask to her left eye. The setting is a luxurious bathroom, with a large mirror reflecting their actions, emphasizing a serene and self-care atmosphere.","Two women are engaged in a skincare routine in a bathroom. Initially, one woman, with a white towel wrapped around her head and a robe, applies a black under-eye mask to her face, while wearing a pair of sunglasses, while the other, with pink hair rollers, watches. Moments later, the scene shifts slightly; the woman with the white towel now applies a black eye mask to her right eye, and the other, with blonde curls, applies a similar mask to her left eye while also wearing a pair of sunglasses. The setting is a luxurious bathroom, with a large mirror reflecting their actions, emphasizing a serene and self-care atmosphere.","Black sunglasses with a sleek, modern frame and dark lenses.",Add a pair of sunglasses.,add
000000162292_7691629.mp4,7,300,499,25,"Four professionals, two men and two women, are engaged in a collaborative meeting in an office. Initially, a man in a navy blazer and a woman in a brown checkered blazer are seen discussing a laptop screen, with another man in a white sweater and a woman in a black and white patterned coat observing. As time progresses, the group's dynamic shifts slightly; the man in the navy blazer now points at the laptop screen, indicating a discussion or presentation, while the woman in the brown blazer smiles and engages with the content. The man in the white sweater gestures thoughtfully, and the woman in the black and white patterned coat appears contemplative, hand to cheek.","Four professionals, two men and two women, are engaged in a collaborative meeting in an office. Initially, a man in a navy blazer and a woman in a brown checkered blazer are seen discussing a laptop screen, with another man in a white sweater and a woman in a black and white patterned coat observing. In the background, there is a large chalkboard filled with complex equations. As time progresses, the group's dynamic shifts slightly; the man in the navy blazer now points at the laptop screen, indicating a discussion or presentation, while the woman in the brown blazer smiles and engages with the content. The man in the white sweater gestures thoughtfully, and the woman in the black and white patterned coat appears contemplative, hand to cheek.",Large green chalkboard with white complex mathematical equations and diagrams.,Swap the background with a large chalkboard with complex equations.,swap
000000189013_8285848.mp4,4,0,299,30,"A drone glides over a densely populated cityscape, showcasing a mix of modern skyscrapers and traditional buildings under an overcast sky. The city's architecture varies from sleek glass facades to aged structures with red-tiled roofs, creating a serene yet somber mood. As the drone moves, the urban environment's stillness is highlighted, with no visible human activity. The hazy sky enhances the mood of quietude, while the drone's flight adds a dynamic element to the otherwise static scene.","A drone glides over a densely populated cityscape, showcasing a mix of modern skyscrapers and traditional buildings under an overcast sky. Hovering above the buildings, a giant futuristic spaceship adds an intriguing, otherworldly element to the scene. The city's architecture varies from sleek glass facades to aged structures with red-tiled roofs, creating a serene yet somber mood. As the drone moves, the urban environment's stillness is highlighted, with no visible human activity. The hazy sky enhances the mood of quietude, while the drone's flight and the presence of the spaceship add dynamic elements to the otherwise static scene.",A massive metallic spaceship with glowing blue lights hovering above the skyline.,Add a giant futuristic spaceship hovering above the buildings.,add
000000190937_8323037.mp4,12,219,468,25,"A mature man with silver hair and dark sunglasses, dressed in a light grey suit, white shirt, and cream sweater, confidently walks along a dirt path in a park, holding a black umbrella and a red and white cane. The overcast weather and lush greenery suggest a cool, possibly rainy day. As he continues, the man, now in a grey suit with a white shirt and dark tie, is seen holding a black umbrella and a red and white walking stick, indicating a moment of solitude. The scene is peaceful, with a metal bench and a gate visible, emphasizing the man's solitary journey.","A mature man with silver hair and dark sunglasses, dressed in a light grey suit, white shirt, and cream sweater, confidently walks along a dirt path in a park, holding a black umbrella and a red and white cane. The overcast weather and lush greenery suggest a cool, possibly rainy day. As he continues, the man, now in a grey suit with a white shirt and dark tie, is seen holding a black umbrella and a red and white walking stick, indicating a moment of solitude. The scene is peaceful, with a metal bench, on which a sleeping cat lies, and a gate visible, emphasizing the man's solitary journey.",A curled-up tabby cat sleeping peacefully on the weathered green bench.,Add a sleeping cat on the bench.,add
000000208144_8641513.mp4,27,350,554,25,"A man and a woman share an intimate moment, foreheads touching and eyes locked in a silent exchange that speaks volumes of their connection. The woman, with her blonde hair tied back and wearing a black leather jacket over a striped shirt, and the man, sporting curly black hair and a mustache, dressed in a white shirt with a red and beige pattern, are illuminated by soft lighting that casts gentle shadows on their faces. This lighting suggests it might be early morning or late evening, adding to the romantic atmosphere of their encounter. The background, though blurred, hints at an urban setting, possibly near a car.","A man and a woman share an intimate moment, foreheads touching and eyes locked in a silent exchange that speaks volumes of their connection. A colorful butterfly rests on the woman's shoulder, adding a touch of whimsy to the scene. The woman, with her blonde hair tied back and wearing a black leather jacket over a striped shirt, and the man, sporting curly black hair and a mustache, dressed in a white shirt with a red and beige pattern, are illuminated by soft lighting that casts gentle shadows on their faces. This lighting suggests it might be early morning or late evening, adding to the romantic atmosphere of their encounter. The background, though blurred, hints at an urban setting, possibly near a car.","A vibrant butterfly with blue, orange, and yellow wings resting on the face of girl with open eyes.",Add a colorful butterfly on the face.,add
000005009143.0.mp4,1,300,499,25,"A translucent, luminescent jellyfish with a bell-shaped body and delicate tentacles floats against a pitch-black backdrop, its white glow contrasting sharply with the darkness. The scene is speckled with particles, adding to the sense of movement and depth, and evoking a feeling of wonder and the vastness of space. As time passes, the jellyfish's ethereal form and the surrounding specks of light continue to highlight the serene yet dynamic atmosphere, emphasizing the jellyfish's delicate structure and the contrast between its luminescence and the surrounding darkness.","A translucent, luminescent jellyfish with a bell-shaped body and delicate tentacles floats against a pitch-black backdrop, adorned with stars and a vibrant nebula, its white glow contrasting sharply with the cosmic scenery. The scene is speckled with particles, adding to the sense of movement and depth, and evoking a feeling of wonder and the vastness of space. As time passes, the jellyfish's ethereal form and the surrounding celestial elements continue to highlight the serene yet dynamic atmosphere, emphasizing the jellyfish's delicate structure and the contrast between its luminescence and the surrounding cosmic background.",Sparkling stars and a colorful nebula with swirling clouds surrounding the brain.,Add stars and a nebula around the brain to create a cosmic background.,add
000005011657.0.mp4,2,0,249,25,"Two volunteers in light blue t-shirts and blue gloves are seen organizing and packing donations in a communal space, likely a charity or community center. They are focused on placing various items, including bottled water and snacks, into cardboard boxes labeled 'DONATIONS'. The setting is indoors, with a wooden table and shelves filled with boxes and supplies, indicating a dedicated charitable activity. The volunteers' careful handling of the items and their methodical approach to packing the donations highlight a sense of community service and care.","Two volunteers in light blue t-shirts and blue gloves are seen organizing and packing donations in a communal space, likely a charity or community center. They are focused on placing various items, including bottled water and snacks, into cardboard boxes labeled 'DONATIONS,' with a small kitten peeking out of one of the boxes. The setting is indoors, with a wooden table and shelves filled with boxes and supplies, indicating a dedicated charitable activity. The volunteers' careful handling of the items and their methodical approach to packing the donations highlight a sense of community service and care.",A small gray kitten with blue eyes peeking out of the cardboard donation box.,Add a small kitten peeking out of the donation box.,add
000005068045.0.mp4,3,500,931,50,"A young woman, dressed in a black cap and light green hoodie, stands in front of a modern red and white building, holding a cardboard box filled with fresh produce like bananas and leafy greens. Initially, she smiles warmly at the camera, exuding friendliness and approachability. As time passes, her expression shifts to one of contentment and professionalism, suggesting she is a delivery person. The setting is an urban environment with a clear sky, and the presence of a potted plant adds a touch of greenery to the scene.","A young woman, dressed in a black cap and light green hoodie, stands in front of a modern red and white building, holding a cardboard box filled with fresh produce like bananas and leafy greens, with a kitten peeking out from the top of the box. Initially, she smiles warmly at the camera, exuding friendliness and approachability. As time passes, her expression shifts to one of contentment and professionalism, suggesting she is a delivery person. The setting is an urban environment with a clear sky, and the presence of a potted plant adds a touch of greenery to the scene.",Gray and white kitten peeking out from the top of the box.,Add a kitten peeking out from the top of the box.,add
000000004723_2402366.mp4,3,0,191,24,"Three silhouetted individuals are inside a dimly lit room, observing a large ship through a window. Initially, one person is taking a photograph, another is on a phone call, and the third is looking out. The ship, labeled 'LNG', is docked at an industrial port with cranes and a lighthouse in the background, under an overcast sky. Two seconds later, the scene remains similar, with the individuals' activities unchanged, but the ship's name is now 'SINOPEC'. The setting suggests a moment of quiet contemplation or observation, with the individuals' attention fixed on the ship.","Two silhouetted individuals are inside a dimly lit room, observing a large ship through a window. Initially, one person is taking a photograph, and the other is looking out. The ship, labeled 'LNG', is anchored near a beach with waves and a lighthouse in the background, under an overcast sky. Two seconds later, the scene remains similar, with the individuals' activities unchanged, but the ship's name is now 'SINOPEC'. The setting suggests a moment of quiet contemplation or observation, with the individuals' attention fixed on the ship.",The green bush and part of a ship.,Remove the person.,remove
000000004426_2257025.mp4,4,0,229,23,"A drone captures a coastal town at sunset, showcasing a blend of pastel-colored buildings and a prominent church with a bell tower. The town, bathed in the golden light of the setting sun, features a road winding through, lined with sparse vegetation and vehicles, indicating the presence of residents. The calm sea mirrors the sky's gradient from peach to deep blue, with distant mountains silhouetted against the fading light. As the sun dips lower, the town's architecture, a mix of residential and commercial, is highlighted, with the serene sea and clear sky enhancing the tranquil atmosphere.","A drone captures a coastal town at sunset, showcasing a blend of pastel-colored buildings and a prominent church with a bell tower. The town, bathed in the golden light of the setting sun, features a road winding through, lined with sparse vegetation, vehicles, and a colorful playground in the empty area, indicating the presence of residents. The calm sea mirrors the sky's gradient from peach to deep blue, with distant mountains silhouetted against the fading light. As the sun dips lower, the town's architecture, a mix of residential and commercial, is highlighted, with the serene sea and clear sky enhancing the tranquil atmosphere.","Bright playground with red slides, blue swings, yellow climbing frames, and green grassy ground.",Add a colorful playground in the empty area.,add
000000008483_3173833.mp4,1,174,463,29,"A colossal Buddha statue in meditation sits atop a white base with classical columns, surrounded by a dense forest. The statue's pinkish-brown robe contrasts with the greenery and the partly cloudy sky. A dirt path leads to the base, suggesting human presence. As the view continues, the Buddha statue, still in its meditative pose, is seen atop a white building with a red-tiled roof, set against a backdrop of lush greenery and a partly cloudy sky. The scene is serene, with the Buddha's hands gently resting in the lap, and the surrounding forest and sky enhancing the tranquil atmosphere.","A colossal Buddha statue in meditation sits atop a white base with classical columns, surrounded by a dense forest. The statue's pinkish-brown robe contrasts with the greenery and the partly cloudy sky. A dirt path leads to the base, suggesting human presence. As the view continues, the Buddha statue, still in its meditative pose, is seen atop a white building with a red-tiled roof, set against a backdrop of lush greenery, a partly cloudy sky, and a cascading waterfall. The scene is serene, with the Buddha's hands gently resting in the lap, and the surrounding forest, sky, and waterfall enhancing the tranquil atmosphere.",Cascading waterfall with lush greenery and mist in the background.,Swap the statue with a waterfall.,swap
000000112319_6693826.mp4,3,720,902,30,"A young Black woman with voluminous, curly hair, wearing a white bathrobe, stands in a serene bathroom holding a wooden tray with spa essentials. The tray includes amber glass bottles with black pump dispensers, a white candle, and a bowl of white flowers, all contributing to a tranquil atmosphere. The room features mosaic tiles, a classic clawfoot bathtub, and a vase of white flowers, enhancing the spa-like setting. Her calm and confident demeanor suggests she is a professional or host, ready to provide a relaxing experience.","A young Black woman with voluminous, curly hair, wearing a white bathrobe, stands in a serene bathroom holding a glass tray with spa essentials. The tray includes amber glass bottles with black pump dispensers, a white candle, and a bowl of white flowers, all contributing to a tranquil atmosphere. The room features mosaic tiles, a classic clawfoot bathtub, and a vase of white flowers, enhancing the spa-like setting. Her calm and confident demeanor suggests she is a professional or host, ready to provide a relaxing experience.","Transparent glass tray with smooth, reflective surface and rounded edges.",Change the material of the tray to glass.,change
000000184233_8164089.mp4,2,100,346,25,"A man in a dark grey blazer and white shirt is seated on a city fountain's edge, eating from a wooden bowl with a fork, surrounded by a serene urban park setting. He is dressed casually with light beige trousers and brown loafers, and a brown paper bag and a disposable coffee cup are beside him, indicating a lunch break. The scene is peaceful, with a clear sky, lush greenery, and a fountain spraying water into the air. Other individuals are present in the background, enjoying the park's tranquility. The man's attire and the setting suggest a blend of professionalism and leisure.","A man in a dark grey blazer and white shirt is seated on a city fountain's edge, eating from a wooden bowl with a fork, surrounded by a serene urban park setting. He is dressed casually with light beige trousers and brown loafers, and a brown paper bag, a steaming cup of coffee, and a disposable coffee cup are beside him, indicating a lunch break. The scene is peaceful, with a clear sky, lush greenery, and a fountain spraying water into the air. Other individuals are present in the background, enjoying the park's tranquility. The man's attire and the setting suggest a blend of professionalism and leisure.",A steaming white cup of coffee with wisps of steam rising.,Swap the paper bag with a steaming cup of coffee.,swap
000000246612_9987553.mp4,23,350,549,25,"A young man with a beard and short hair, wearing a white shirt and brown trousers, sits on a sofa, holding hands with an older woman with blonde hair, also in white. They are in a room filled with books, suggesting a love for reading, and bathed in natural light from a window. Their expressions are tender and affectionate, indicating a deep emotional connection. The scene is intimate, with the man's reflection visible in a glass partition, adding a layer of introspection to the moment. The atmosphere is warm and cozy, highlighted by the soft lighting and the book-filled background.","A young man with a beard and short hair, wearing a white shirt and brown trousers, sits on a sofa, holding hands with an older woman with blonde hair, also in white. They are in a room filled with books, suggesting a love for reading, and the view through the window reveals a serene beach scene. Their expressions are tender and affectionate, indicating a deep emotional connection. The scene is intimate, with the man's reflection visible in a glass partition, adding a layer of introspection to the moment. The atmosphere is warm and cozy, highlighted by the soft lighting and the book-filled background.",Golden sandy beach with gentle waves and clear blue sky.,Change the window view to a beach scene.,change
000005009435.0.mp4,15,552,729,23,"Aerial view of colosseum in rome, italy",Aerial view of Colosseum on an alien planet with bioluminescent vegetation,"Crimson sky, floating rocks, and bioluminescent vegetation with unusual alien structures.",Change the environment to an alien planet.,change
000005038055.0.mp4,5,0,499,50,"A man in a light grey suit and yellow tie is seated at an office desk, working on a computer, while a woman in a white blazer with a black collar stands beside him, holding a glass of water. They are in a professional setting with a wooden filing cabinet, papers, and a plant, under natural light from a window with vertical blinds. The scene shifts slightly as the woman, now holding a pen, appears to be in a serious discussion with the man, who is now in a black leather chair. The office is well-lit, with a vintage computer, keyboard, mouse, and a potted plant on the desk.","A man in a light grey suit and yellow tie is seated at an office desk, working on a computer with a modern flat-screen monitor, while a woman in a white blazer with a black collar stands beside him, holding a glass of water. They are in a professional setting with a wooden filing cabinet, papers, and a plant, under natural light from a window with vertical blinds. The scene shifts slightly as the woman, now holding a pen, appears to be in a serious discussion with the man, who is now in a black leather chair. The office is well-lit, with a modern flat-screen monitor, keyboard, mouse, and a potted plant on the desk.","Sleek, thin black flat-screen monitor with a glossy finish and minimal bezel.",Change the computer monitor to a modern flat-screen monitor.,change
000000035775_4763044.mp4,1,0,249,25,Glass on a book,Glass on a book with bright red glasses,Bright red glasses frames with a glossy finish.,Change the color of the glasses to bright red.,change
000000035859_4764973.mp4,5,276,413,23,"Protests unfold in front of a modern building, with individuals holding signs that read ""I CAN'T BREATHE"" and ""JUSTICE NOW,"" signaling a call for justice and an end to police brutality. The protesters, wearing casual attire and masks, suggest a grassroots movement during a health-conscious era. The scene is set against a backdrop of trees and a clear sky, indicating a peaceful demonstration. The protesters' raised fists and determined expressions convey a strong message of solidarity and resistance. The consistent imagery across the frames highlights the protest's focus on justice and the fight against police brutality.","Protests unfold in front of a modern building, with individuals holding signs that read ""LOVE AND PEACE,"" signaling a call for justice and an end to police brutality. The protesters, wearing casual attire and masks, suggest a grassroots movement during a health-conscious era. The scene is set against a backdrop of trees and a clear sky, indicating a peaceful demonstration. The protesters' raised fists and determined expressions convey a strong message of solidarity and resistance. The consistent imagery across the frames highlights the protest's focus on justice and the fight against police brutality.","White sign with ""Love and Peace"" written in bold black letters.","Change the sign to say ""Love and Peace.""",change
000000048308_5137835.mp4,3,0,149,25,"Two women are in a cozy, eclectic room with a vintage aesthetic. Initially, one woman is seated at a distressed wooden counter, working on a laptop, while the other stands by a window, holding a pillow. The room features a red 'S' letter, a map, photographs, a globe, and a chandelier, creating a warm ambiance. Later, the woman at the counter is seen working on a computer, and the other, now in a green jacket and blue jeans, holds a pillow and looks out the window, with a third person visible in the mirror reflection, suggesting a social setting.","Two women are in a cozy, eclectic room with a vintage aesthetic. Initially, one woman is seated at a distressed wooden counter, working on a laptop, while the other stands by a window, holding a pillow. The room features a red 'S' letter, a map, photographs, a globe, a blue clock face, and a chandelier, creating a warm ambiance. Later, the woman at the counter is seen working on a computer, and the other, now in a green jacket and blue jeans, holds a pillow and looks out the window, with a third person visible in the mirror reflection, suggesting a social setting.",Blue clock face with white numerals and hands.,Change the color of the clock face to blue.,change
000000049873_5200345.mp4,2,200,449,25,"A smiling teacher with curly hair and glasses stands at the front of a classroom, hands clasped in front of her. She is dressed in a brown blazer over a light blue shirt and checkered trousers, exuding warmth and approachability. The classroom is well-equipped with educational materials, including books, a globe, and a world map, indicating a focus on geography and global studies. A chalkboard with the message 'Mr. Smith's Class' and a schedule for the day is visible, suggesting an organized learning environment. The teacher's friendly demeanor and the orderly setting reflect a positive and engaging educational atmosphere.","A smiling teacher with curly hair and glasses stands at the front of a classroom, hands clasped in front of her. She is dressed in a bright red blazer over a light blue shirt and checkered trousers, exuding warmth and approachability. The classroom is well-equipped with educational materials, including books, a globe, and a world map, indicating a focus on geography and global studies. A chalkboard with the message 'Mr. Smith's Class' and a schedule for the day is visible, suggesting an organized learning environment. The teacher's friendly demeanor and the orderly setting reflect a positive and engaging educational atmosphere.",Bright red jacket with smooth fabric and matching buttons.,Change the color of the jacket to bright red.,change
